"source_id","brand","name","categories","price","rating","review_count","original_price","web_url","image_urls","variant_count"
"10523","GUERLAIN","Rose Aux Joues - Tender Blush","[""Blush""]","6800","4.5","10","6800","https://www.sephora.com.au/products/guerlain-rose-aux-joues-tender-blush","[""https://static-reg.lximg.com/images/product_images/RoseAuxJouesTenderBlush_01MorningRose_a0486d015e5436aa5b2d5ac0269e4d94265f3374_1523777737.png""]","3"
"12577","Ole Henriksen","3 Little Wonders Mini","[""Skincare Sets"", ""For Her""]","3200","5.0","4","3200","https://www.sephora.com.au/products/ole-henriksen-3-little-wonders-mini","[""https://static-reg.lximg.com/images/product_images/3wonders_WEB_1851df8a1c2452d6ec6b1f299527889cb789d5fa_1523792001.png""]","1"
"13017","Foreo","Iris Eye Massager","[""Skincare"", ""For Her""]","17900","3.0","24","17900","https://www.sephora.com.au/products/foreo-iris-eye-massager","[""https://static-reg.lximg.com/images/pictures/43937/13736_Foreo_WEB.jpg""]","3"
"14958","Bite Beauty","Amuse Bouche Liquified Lipstick - Unearthed Collection (Limited Edition)","[""Lipstick""]","3700","0.0","0","3700","https://www.sephora.com.au/products/bite-beauty-amuse-bouche-liquefied-lipstick","[""https://static-reg.lximg.com/images/product_images/1_Product_33497_20Bite_20Beauty_20Amuse_20Bouche_20Liquefied_20Lipstick_20Chicory_ff425aaf64f2819d32b07f5e6132b492f466d9fb_1525659927.png""]","10"
"17290","Edible Beauty","Tumeric Beauty Latte Serum","[""Serum & Booster""]","4900","0.0","0","4900","https://www.sephora.com.au/products/edible-beauty-tumeric-beauty-latte-serum","[""https://static-reg.lximg.com/images/product_images/1_Product_193175_20Edible_20Beauty_20Tumeric_20Beauty_20Latte_20Serum_20Default_0afe09823c3b3a92444949d932912ca35eb9af3f_1540230684.png""]","1"
"17672","Murad","Glow A Little (Limited Edition)","[""Face Oil""]","2200","0.0","0","2200","https://www.sephora.com.au/products/murad-glow-a-little-limited-edition","[""https://static-reg.lximg.com/images/product_images/1_Product_200907_bc43a6dc227a22857f157a938ed5d1897802c98e_1540461291.png"", ""https://static-reg.lximg.com/images/product_images/1_Product_200907_bc43a6dc227a22857f157a938ed5d1897802c98e_1540469426.png""]","1"
"675","Sigma Beauty","E60 Large Shader Brush","[""Eye Brushes""]","2600","4.5","23","2600","https://www.sephora.com.au/products/sigma-beauty-e60-large-shader","[""https://static-reg.lximg.com/images/product_images/816_SigmaBeauty_WEB_0cc526f3570fa46fe3dcf5b9a6e32acfecdad0dc_1523776412.png""]","1"
"4243","Clinique","Take The Day Off Cleansing Milk 200ml","[""Face""]","5000","4.0","10","5000","https://www.sephora.com.au/products/clinique-take-the-day-off-cleansing-milk-200ml","[""https://static-reg.lximg.com/images/product_images/1_Product_6680_20Clinique_20Take_20The_20Day_20Off_20Cleansing_20Milk_20200ml_20Default_83d1cd19fa386a6937b81c8fa950ef842ab5b9fe_1531391727.png""]","1"
"9537","Sephora Collection","Instant Nail Cuticle Care","[""Nail Treatments""]","1600","4.5","9","1600","https://www.sephora.com.au/products/sephora-collection-instant-nail-cuticule-care","[""https://static-reg.lximg.com/images/product_images/Instant-Nail-_-Cuticle-Care-40-ml_WEB_41a72d124cce1b82b4a860b362add5c13000177e_1523777481.png""]","1"
"12744","tarte","Water Foundation","[""Foundation""]","5700","3.5","16","5700","https://www.sephora.com.au/products/tarte-water-foundation","[""https://static-reg.lximg.com/images/pictures/52831/27581_Tarte_WaterFoundationFairNeutral_WEB.jpg""]","21"
"14405","Skin Inc","French Pine Bark Serum","[""Serum & Booster""]","6400","4.0","74","6400","https://www.sephora.com.au/products/skin-inc-french-pine-bark-serum","[""https://static-reg.lximg.com/images/product_images/SkinInc_FrenchPineBark_10ml_4d27e394cd458c0bdacba7f3a3533f7f7b46b2d1_1523778671.png""]","2"
"17298","Lixir","Soft Clay Rubber","[""Mask""]","5900","0.0","0","5900","https://www.sephora.com.au/products/lixir-soft-clay-rubber","[""https://static-reg.lximg.com/images/product_images/1_Product_200707_20Lixir_20Soft_20Clay_20Rubber_20Default_7c27af50046773711ae25def18957c7972668a07_1540230715.png""]","1"
"3001","Skin Inc","Ceramide Serum 10ml","[""Serum & Booster""]","6400","4.0","32","6400","https://www.sephora.com.au/products/skin-inc-ceramide-serum-10ml","[""https://static-reg.lximg.com/images/product_images/SkinInc_CeramideSerum_10ml_1d0b9780a26605661aa2ea78930ce55e6e26dbd9_1523776665.png""]","1"
"5502","Make Up For Ever","Radiant Primer Peach","[""Face Primer""]","5800","0.0","1","5800","https://www.sephora.com.au/products/make-up-for-ever-radiant-primer-peach","[""https://static-reg.lximg.com/images/product_images/10231_MakeUpForEver_WEB_047a1a355cfdad54f1d27a6c58bb55a3233bf12b_1523776933.png""]","1"
"10537","GUERLAIN","Stop Spot 15ml","[""Day Moisturiser""]","4700","3.5","4","4700","https://www.sephora.com.au/products/guerlain-stop-spot-15ml","[""https://static-reg.lximg.com/images/pictures/36114/StopSpot15ml_.jpg""]","1"
"17973","Sigma Beauty","Shade + Pop Brush Set (Limited Edition)","[""Eye Brushes"", ""Brush Sets"", ""For Her""]","5100","0.0","0","5100","https://www.sephora.com.au/products/sigma-beauty-shade-plus-pop-brush-set-limited-edition","[""https://static-reg.lximg.com/images/product_images/1_Product_201743_20Sigma_20Beauty_20Holiday_20Shade_20Pop_20Brush_20Set_20Limited_20Edition_6a78cd2e1e13fadcd1225f430db9a72a08232cf3_1541406674.png"", ""https://static-reg.lximg.com/images/product_images/2_Product_201743_20Sigma_20Beauty_20Holiday_20Shade_20Pop_20Brush_20Set_20Limited_20Edition_5e930e55912caa76974218e52a348aafb8dac932_1541406676.png""]","1"
"3003","Skin Inc","Hyaluronic Acid Serum","[""Serum & Booster""]","6400","4.0","41","6400","https://www.sephora.com.au/products/skin-inc-hyaluronic-acid-serum-10ml","[""https://static-reg.lximg.com/images/product_images/SkinInc_HyaluronicAcid_10ml_be39c4b7d60940f5e069c4baef997de9fe1810b8_1523776665.png""]","1"
"12671","Estée Lauder","Advanced Night Repair Eye Concentrate Matrix","[""Eye Care""]","11500","3.0","5","11500","https://www.sephora.com.au/products/estee-lauder-advanced-night-repair-eye-concentrate-matrix","[""https://static-reg.lximg.com/images/product_images/27480_EsteeLauder_WEB_b36e6f0e2de0faa1588100559be527768a3ac902_1523778129.png""]","1"
"17971","Youth to the People","Superfood Face Mask","[""Mask""]","6200","0.0","0","6200","https://www.sephora.com.au/products/youth-to-the-people-superfood-face-mask","[""https://static-reg.lximg.com/images/product_images/1_Product_200320_20Youth_20To_20Superfood_20Face_20Mask_ec4963ca42b4620e3a699fe83f4b9abfac3bb7cd_1541407646.png"", ""https://static-reg.lximg.com/images/product_images/2_Product_200320_20Youth_20To_20Superfood_20Face_20Mask_ef5c9b9ae87ce4aba8cea7f4abf3667bf1d82837_1541407653.png""]","1"
"12507","BECCA","Light Chaser Highlighter For Face & Eye (Limited Edition)","[""Highlighter & Illuminator""]","5400","4.5","22","5400","https://www.sephora.com.au/products/becca-light-chaser-highlighter-for-face-and-eye","[""https://static-reg.lximg.com/images/product_images/27087_BECCA_WEB_fd18e8595a2051e0ea557f4e5220b23475f62081_1523778095.png""]","3"
"14369","BECCA","Ocean Jewels Eye Palette (Limited Edition)","[""For Her"", ""Eye Palettes & Sets"", ""Eyeshadow""]","7800","4.5","25","7800","https://www.sephora.com.au/products/becca-ocean-jewels-eye-palette-limited-edition","[""https://static-reg.lximg.com/images/product_images/31819_BECCA_WEB_9e9a59a9de0226a5e9b4ec9ea581c5612ed6366f_1523778613.png"", ""https://static-reg.lximg.com/images/product_images/2_Swatch_31819_20BECCA_20Ocean_20Jewels_20Eye_20Palette_20_Limited_20Edition__0e96983ffe1d5de69f2138cc03c66ddeeb77ab9c_1525681063.png""]","1"
"12225","BECCA","BECCA X Chrissy Teigen Glow Face Palette","[""Blush"", ""Bronzer"", ""Highlighter & Illuminator"", ""Face Palettes & Sets"", ""For Her""]","7800","4.5","265","7800","https://www.sephora.com.au/products/becca-becca-x-chrissy-teigen-glow-face-palette","[""https://static-reg.lximg.com/images/product_images/BECCA_CT_2000px_NoReflection_WEB_2f250be738a5d7d3923767c5ac98bbb1295cdf73_1523778038.png""]","1"
